time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-03 00:00:00+00:00,10,5,3,3
2026-07-04 00:00:00+00:00,23,9,0,0
2026-07-05 00:00:00+00:00,13,8,1,1
2026-07-06 00:00:00+00:00,22,7,6,3
2026-07-07 00:00:00+00:00,21,8,0,0
2026-07-08 00:00:00+00:00,103,30,46,6
2026-07-09 00:00:00+00:00,18,9,0,0
2026-07-10 00:00:00+00:00,4,4,9,4
2026-07-11 00:00:00+00:00,26,8,0,0
2026-07-12 00:00:00+00:00,3,3,0,0
2026-07-13 00:00:00+00:00,18,10,41,8
2026-07-14 00:00:00+00:00,294,65,46,4
2026-07-15 00:00:00+00:00,28,8,11,5
2026-07-16 00:00:00+00:00,17,6,2,1
