time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-17 00:00:00+00:00,7,6,5,4
2026-02-18 00:00:00+00:00,11,5,1,1
2026-02-19 00:00:00+00:00,11,6,1,1
2026-02-20 00:00:00+00:00,11,6,1,1
2026-02-21 00:00:00+00:00,13,9,1,1
2026-02-22 00:00:00+00:00,18,9,0,0
2026-02-23 00:00:00+00:00,49,9,4,4
2026-02-24 00:00:00+00:00,9,5,5,2
2026-02-25 00:00:00+00:00,6,4,2,2
2026-02-26 00:00:00+00:00,12,7,3,2
2026-02-27 00:00:00+00:00,17,8,3,2
2026-02-28 00:00:00+00:00,15,6,0,0
2026-03-01 00:00:00+00:00,13,5,1,1
2026-03-02 00:00:00+00:00,12,7,0,0
